round,client,packets,anomalies,rules,accuracy,true_positives,false_positives,global_rules,timestamp
1,client_A,400,143,143,1.0000,120,23,0,2026-03-02T15:26:26.909419
1,client_B,400,145,145,1.0000,120,25,0,2026-03-02T15:26:26.910125
1,client_C,400,121,121,0.8417,101,20,0,2026-03-02T15:26:26.910703
2,client_A,400,147,147,1.0000,120,27,1,2026-03-02T15:26:27.113421
2,client_B,400,140,140,1.0000,120,20,1,2026-03-02T15:26:27.114011
2,client_C,400,144,144,1.0000,120,24,1,2026-03-02T15:26:27.114510
3,client_A,400,149,149,1.0000,120,29,0,2026-03-02T15:26:27.483710
3,client_B,400,157,157,1.0000,120,37,0,2026-03-02T15:26:27.484327
3,client_C,400,141,141,1.0000,120,21,0,2026-03-02T15:26:27.484814
4,client_A,400,151,151,1.0000,120,31,0,2026-03-02T15:26:27.910625
4,client_B,400,152,152,1.0000,120,32,0,2026-03-02T15:26:27.911070
4,client_C,400,146,146,1.0000,120,26,0,2026-03-02T15:26:27.911504
5,client_A,400,145,145,1.0000,120,25,0,2026-03-02T15:26:28.433775
5,client_B,400,148,148,1.0000,120,28,0,2026-03-02T15:26:28.434248
5,client_C,400,137,137,1.0000,120,17,0,2026-03-02T15:26:28.434687
6,client_A,400,149,149,1.0000,120,29,0,2026-03-02T15:26:29.127053
6,client_B,400,148,148,1.0000,120,28,0,2026-03-02T15:26:29.127503
6,client_C,400,160,160,1.0000,120,40,0,2026-03-02T15:26:29.127960
7,client_A,400,148,148,1.0000,120,28,0,2026-03-02T15:26:29.890479
7,client_B,400,156,156,1.0000,120,36,0,2026-03-02T15:26:29.890939
7,client_C,400,145,145,1.0000,120,25,0,2026-03-02T15:26:29.891377
8,client_A,400,143,143,1.0000,120,23,0,2026-03-02T15:26:30.808002
8,client_B,400,150,150,1.0000,120,30,0,2026-03-02T15:26:30.808454
8,client_C,400,157,157,1.0000,120,37,0,2026-03-02T15:26:30.808907
9,client_A,400,153,153,1.0000,120,33,1,2026-03-02T15:26:32.456242
9,client_B,400,141,141,1.0000,120,21,1,2026-03-02T15:26:32.456728
9,client_C,400,152,152,1.0000,120,32,1,2026-03-02T15:26:32.457226
10,client_A,400,139,139,1.0000,120,19,0,2026-03-02T15:26:34.677258
10,client_B,400,141,141,1.0000,120,21,0,2026-03-02T15:26:34.677705
10,client_C,400,145,145,1.0000,120,25,0,2026-03-02T15:26:34.678141
