round,client,accuracy,precision,recall,f1,tp,fp,tn,fn,rules,global_rules
1,client_A,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
1,client_B,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
1,client_C,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
2,client_A,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
2,client_B,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
2,client_C,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
3,client_A,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
3,client_B,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
3,client_C,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
4,client_A,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
4,client_B,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
4,client_C,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
5,client_A,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
5,client_B,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
5,client_C,1.0000,1.0000,1.0000,1.0000,75,0,225,0,75,0
