round,client,packets,anomalies,rules,accuracy,true_positives,false_positives,global_rules,timestamp
1,client_A,200,162,162,1.0000,160,2,0,2026-03-02T15:26:37.136187
1,client_B,200,157,157,0.9625,154,3,0,2026-03-02T15:26:37.136449
1,client_C,200,18,18,0.6500,13,5,0,2026-03-02T15:26:37.136639
2,client_A,200,164,164,1.0000,160,4,1,2026-03-02T15:26:37.231997
2,client_B,200,160,160,1.0000,160,0,1,2026-03-02T15:26:37.232268
2,client_C,200,16,16,0.3000,6,10,1,2026-03-02T15:26:37.232453
3,client_A,200,161,161,0.9625,154,7,0,2026-03-02T15:26:37.421913
3,client_B,200,167,167,1.0000,160,7,0,2026-03-02T15:26:37.422233
3,client_C,200,16,16,0.3500,7,9,0,2026-03-02T15:26:37.422419
4,client_A,200,166,166,1.0000,160,6,0,2026-03-02T15:26:37.707532
4,client_B,200,166,166,1.0000,160,6,0,2026-03-02T15:26:37.707808
4,client_C,200,17,17,0.3000,6,11,0,2026-03-02T15:26:37.707991
5,client_A,200,164,164,1.0000,160,4,0,2026-03-02T15:26:38.090934
5,client_B,200,164,164,1.0000,160,4,0,2026-03-02T15:26:38.091210
5,client_C,200,13,13,0.3000,6,7,0,2026-03-02T15:26:38.091398
6,client_A,200,163,163,1.0000,160,3,0,2026-03-02T15:26:38.570541
6,client_B,200,163,163,1.0000,160,3,0,2026-03-02T15:26:38.570817
6,client_C,200,18,18,0.3500,7,11,0,2026-03-02T15:26:38.571006
7,client_A,200,159,159,0.9938,159,0,0,2026-03-02T15:26:39.146702
7,client_B,200,165,165,1.0000,160,5,0,2026-03-02T15:26:39.146971
7,client_C,200,12,12,0.3500,7,5,0,2026-03-02T15:26:39.147153
8,client_A,200,133,133,0.7875,126,7,1,2026-03-02T15:26:40.169395
8,client_B,200,162,162,1.0000,160,2,1,2026-03-02T15:26:40.169667
8,client_C,200,19,19,0.3500,7,12,1,2026-03-02T15:26:40.169857
9,client_A,200,122,122,0.7500,120,2,0,2026-03-02T15:26:41.678985
9,client_B,200,163,163,1.0000,160,3,0,2026-03-02T15:26:41.679257
9,client_C,200,16,16,0.4500,9,7,0,2026-03-02T15:26:41.679445
10,client_A,200,120,120,0.7500,120,0,0,2026-03-02T15:26:43.396797
10,client_B,200,165,165,1.0000,160,5,0,2026-03-02T15:26:43.397078
10,client_C,200,15,15,0.3500,7,8,0,2026-03-02T15:26:43.397275
11,client_A,200,127,127,0.7625,122,5,0,2026-03-02T15:26:45.244270
11,client_B,200,163,163,1.0000,160,3,0,2026-03-02T15:26:45.244543
11,client_C,200,17,17,0.3500,7,10,0,2026-03-02T15:26:45.244729
12,client_A,200,123,123,0.7500,120,3,0,2026-03-02T15:26:47.259578
12,client_B,200,166,166,1.0000,160,6,0,2026-03-02T15:26:47.259854
12,client_C,200,16,16,0.4500,9,7,0,2026-03-02T15:26:47.260056
13,client_A,200,124,124,0.7500,120,4,0,2026-03-02T15:26:49.447971
13,client_B,200,165,165,1.0000,160,5,0,2026-03-02T15:26:49.448241
13,client_C,200,14,14,0.4500,9,5,0,2026-03-02T15:26:49.448426
14,client_A,200,126,126,0.7500,120,6,0,2026-03-02T15:26:51.823818
14,client_B,200,163,163,1.0000,160,3,0,2026-03-02T15:26:51.824093
14,client_C,200,11,11,0.3000,6,5,0,2026-03-02T15:26:51.824276
15,client_A,200,124,124,0.7500,120,4,0,2026-03-02T15:26:54.474243
15,client_B,200,163,163,1.0000,160,3,0,2026-03-02T15:26:54.474517
15,client_C,200,12,12,0.4000,8,4,0,2026-03-02T15:26:54.474701
