round,client,accuracy,precision,recall,f1,tp,fp,tn,fn,rules,global_rules
1,client_A,1.0000,1.0000,1.0000,1.0000,150,0,150,0,150,0
1,client_B,1.0000,1.0000,1.0000,1.0000,120,0,180,0,120,0
1,client_C,1.0000,1.0000,1.0000,1.0000,30,0,270,0,30,0
2,client_A,1.0000,1.0000,1.0000,1.0000,150,0,150,0,150,0
2,client_B,1.0000,1.0000,1.0000,1.0000,120,0,180,0,120,0
2,client_C,1.0000,1.0000,1.0000,1.0000,30,0,270,0,30,0
3,client_A,1.0000,1.0000,1.0000,1.0000,150,0,150,0,150,0
3,client_B,1.0000,1.0000,1.0000,1.0000,120,0,180,0,120,0
3,client_C,1.0000,1.0000,1.0000,1.0000,30,0,270,0,30,0
4,client_A,1.0000,1.0000,1.0000,1.0000,150,0,150,0,150,0
4,client_B,1.0000,1.0000,1.0000,1.0000,120,0,180,0,120,0
4,client_C,1.0000,1.0000,1.0000,1.0000,30,0,270,0,30,0
5,client_A,1.0000,1.0000,1.0000,1.0000,150,0,150,0,150,0
5,client_B,1.0000,1.0000,1.0000,1.0000,120,0,180,0,120,0
5,client_C,1.0000,1.0000,1.0000,1.0000,30,0,270,0,30,0
6,client_A,1.0000,1.0000,1.0000,1.0000,150,0,150,0,150,0
6,client_B,1.0000,1.0000,1.0000,1.0000,120,0,180,0,120,0
6,client_C,1.0000,1.0000,1.0000,1.0000,30,0,270,0,30,0
7,client_A,1.0000,1.0000,1.0000,1.0000,150,0,150,0,150,0
7,client_B,1.0000,1.0000,1.0000,1.0000,120,0,180,0,120,0
7,client_C,1.0000,1.0000,1.0000,1.0000,30,0,270,0,30,0
8,client_A,1.0000,1.0000,1.0000,1.0000,150,0,150,0,150,0
8,client_B,1.0000,1.0000,1.0000,1.0000,120,0,180,0,120,0
8,client_C,1.0000,1.0000,1.0000,1.0000,30,0,270,0,30,0
