round,client,packets,anomalies,rules,accuracy,true_positives,false_positives,global_rules,timestamp
1,client_A,200,162,162,1.0000,160,2,0,2026-03-02T15:26:57.167044
1,client_B,200,157,157,0.9625,154,3,0,2026-03-02T15:26:57.167312
1,client_C,200,18,18,0.6500,13,5,0,2026-03-02T15:26:57.167508
2,client_A,200,164,164,1.0000,160,4,1,2026-03-02T15:26:57.262402
2,client_B,200,160,160,1.0000,160,0,1,2026-03-02T15:26:57.262667
2,client_C,200,16,16,0.3000,6,10,1,2026-03-02T15:26:57.262862
3,client_A,200,161,161,0.9625,154,7,0,2026-03-02T15:26:57.452168
3,client_B,200,167,167,1.0000,160,7,0,2026-03-02T15:26:57.452453
3,client_C,200,16,16,0.3500,7,9,0,2026-03-02T15:26:57.452651
4,client_A,200,166,166,1.0000,160,6,0,2026-03-02T15:26:57.737737
4,client_B,200,166,166,1.0000,160,6,0,2026-03-02T15:26:57.738014
4,client_C,200,17,17,0.3000,6,11,0,2026-03-02T15:26:57.738201
5,client_A,200,164,164,1.0000,160,4,0,2026-03-02T15:26:58.121857
5,client_B,200,164,164,1.0000,160,4,0,2026-03-02T15:26:58.122148
5,client_C,200,13,13,0.3000,6,7,0,2026-03-02T15:26:58.122338
6,client_A,200,12,12,0.0125,1,11,0,2026-03-02T15:26:58.599258
6,client_B,200,163,163,1.0000,160,3,0,2026-03-02T15:26:58.599542
6,client_C,200,18,18,0.3500,7,11,0,2026-03-02T15:26:58.599736
7,client_A,200,160,160,1.0000,160,0,0,2026-03-02T15:26:59.438786
7,client_B,200,165,165,1.0000,160,5,0,2026-03-02T15:26:59.439167
7,client_C,200,12,12,0.3500,7,5,0,2026-03-02T15:26:59.439374
8,client_A,200,165,165,0.9875,158,7,2,2026-03-02T15:27:00.736823
8,client_B,200,162,162,1.0000,160,2,2,2026-03-02T15:27:00.737099
8,client_C,200,19,19,0.3500,7,12,2,2026-03-02T15:27:00.737291
9,client_A,200,141,141,0.8688,139,2,0,2026-03-02T15:27:02.952391
9,client_B,200,163,163,1.0000,160,3,0,2026-03-02T15:27:02.952673
9,client_C,200,16,16,0.4500,9,7,0,2026-03-02T15:27:02.952866
10,client_A,200,155,155,0.9688,155,0,0,2026-03-02T15:27:05.408936
10,client_B,200,165,165,1.0000,160,5,0,2026-03-02T15:27:05.409216
10,client_C,200,15,15,0.3500,7,8,0,2026-03-02T15:27:05.409410
11,client_A,200,133,133,0.8000,128,5,0,2026-03-02T15:27:08.448832
11,client_B,200,163,163,1.0000,160,3,0,2026-03-02T15:27:08.449259
11,client_C,200,17,17,0.3500,7,10,0,2026-03-02T15:27:08.449533
12,client_A,200,123,123,0.7500,120,3,0,2026-03-02T15:27:11.664787
12,client_B,200,166,166,1.0000,160,6,0,2026-03-02T15:27:11.665068
12,client_C,200,16,16,0.4500,9,7,0,2026-03-02T15:27:11.665262
13,client_A,200,138,138,0.8375,134,4,0,2026-03-02T15:27:14.911435
13,client_B,200,165,165,1.0000,160,5,0,2026-03-02T15:27:14.911718
13,client_C,200,14,14,0.4500,9,5,0,2026-03-02T15:27:14.911906
14,client_A,200,146,146,0.8750,140,6,0,2026-03-02T15:27:18.453139
14,client_B,200,163,163,1.0000,160,3,0,2026-03-02T15:27:18.453417
14,client_C,200,11,11,0.3000,6,5,0,2026-03-02T15:27:18.453610
15,client_A,200,124,124,0.7500,120,4,0,2026-03-02T15:27:22.822487
15,client_B,200,163,163,1.0000,160,3,0,2026-03-02T15:27:22.822782
15,client_C,200,12,12,0.4000,8,4,0,2026-03-02T15:27:22.822982
